address,country_code,house_number,street,town,state,postal_code,country
"118 BACK ROAD, MILTON",NZ,118,BACK ROAD,MILTON,,,
"2 BLANTYRE ROAD, WAKARI, DUNEDIN",NZ,2,BLANTYRE ROAD,DUNEDIN,,,
"108 LIMEWORKS ROAD, CIRCLE HILL, MILTON",NZ,108,LIMEWORKS ROAD,MILTON,,,
"24 THOMSON STREET, ARROWTOWN",NZ,24,THOMSON STREET,ARROWTOWN,,,
"5 ELIZABETH STREET, LAKE HAWEA",NZ,5,ELIZABETH STREET,LAKE HAWEA,,,
"25 CHARTERS STREET, GLENROSS, DUNEDIN",NZ,25,CHARTERS STREET,DUNEDIN,,,
"8 NORTHLAND STREET, RANFURLY",NZ,8,NORTHLAND STREET,RANFURLY,,,
"31 BLACK PEAK ROAD, OMARAMA, OMARAMA",NZ,31,BLACK PEAK ROAD,OMARAMA,,,
"12A MULFORD STREET, CONCORD, DUNEDIN",NZ,12A,MULFORD STREET,DUNEDIN,,,
"6 ELVA DAWSON PLACE, ARROWTOWN",NZ,6,ELVA DAWSON PLACE,ARROWTOWN,,,
"384 HIGH STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,384,HIGH STREET,DUNEDIN,,,
"1215 WANAKA-MOUNT ASPIRING ROAD, GLENDHU BAY, WANAKA",NZ,1215,WANAKA-MOUNT ASPIRING ROAD,WANAKA,,,
"10 GOODALL STREET, MOSGIEL",NZ,10,GOODALL STREET,MOSGIEL,,,
"14 ROYDON DRIVE, RUATANGATA WEST, WHANGAREI",NZ,14,ROYDON DRIVE,WHANGAREI,,,
"27 WALLACE STREET, ROSLYN, DUNEDIN",NZ,27,WALLACE STREET,DUNEDIN,,,
"12 MORRISON STREET, CAVERSHAM, DUNEDIN",NZ,12,MORRISON STREET,DUNEDIN,,,
"220 KARETAI ROAD, HIGHCLIFF, DUNEDIN",NZ,220,KARETAI ROAD,DUNEDIN,,,
"8 CULLODEN STREET, KAIKORAI, DUNEDIN",NZ,8,CULLODEN STREET,DUNEDIN,,,
"57 ARGYLE STREET, MOSGIEL",NZ,57,ARGYLE STREET,MOSGIEL,,,
"21 TOMKINS STREET, GREEN ISLAND, DUNEDIN",NZ,21,TOMKINS STREET,DUNEDIN,,,
"20 OWAI AVENUE, HELENA BAY, HIKURANGI",NZ,20,OWAI AVENUE,HIKURANGI,,,
"30 DAVID STREET, CAVERSHAM, DUNEDIN",NZ,30,DAVID STREET,DUNEDIN,,,
"183 BALMACEWEN ROAD, WAKARI, DUNEDIN",NZ,183,BALMACEWEN ROAD,DUNEDIN,,,
"125 MCINTYRE ROAD, WAIKAKA VALLEY, GORE",NZ,125,MCINTYRE ROAD,GORE,,,
"294 GREENVALE ROAD, GREENVALE, GORE",NZ,294,GREENVALE ROAD,GORE,,,
"7 HOTOP PLACE, CROMWELL",NZ,7,HOTOP PLACE,CROMWELL,,,
"105 HILLHEAD ROAD, CORSTORPHINE, DUNEDIN",NZ,105,HILLHEAD ROAD,DUNEDIN,,,
"28 MOUNT STREET, WAKARI, DUNEDIN",NZ,28,MOUNT STREET,DUNEDIN,,,
"12 TITRI PLACE, MOSGIEL",NZ,12,TITRI PLACE,MOSGIEL,,,
"101 BARR STREET, KENMURE, DUNEDIN",NZ,101,BARR STREET,DUNEDIN,,,
"7 ORR STREET, CONCORD, DUNEDIN",NZ,7,ORR STREET,DUNEDIN,,,
"35 WAKARI ROAD, HALFWAY BUSH, DUNEDIN",NZ,35,WAKARI ROAD,DUNEDIN,,,
"13 CHERRY COURT, WANAKA",NZ,13,CHERRY COURT,WANAKA,,,
"69 LONSDALE STREET, BELLEKNOWES, DUNEDIN",NZ,69,LONSDALE STREET,DUNEDIN,,,
"722 CLYDEVALE ROAD, POPOTUNOA, CLINTON",NZ,722,CLYDEVALE ROAD,CLINTON,,,
"19 YARE LANE, BALCLUTHA",NZ,19,YARE LANE,BALCLUTHA,,,
"5 FENWICK STREET, HALFWAY BUSH, DUNEDIN",NZ,5,FENWICK STREET,DUNEDIN,,,
"95 OAKWOOD AVENUE, MARYHILL, DUNEDIN",NZ,95,OAKWOOD AVENUE,DUNEDIN,,,
"22 BRIDGER STREET, MARYHILL, DUNEDIN",NZ,22,BRIDGER STREET,DUNEDIN,,,
"3 BROOM STREET, NASEBY",NZ,3,BROOM STREET,NASEBY,,,
"28 BRINGANS STREET, ALEXANDRA",NZ,28,BRINGANS STREET,ALEXANDRA,,,
"14 MULBERRY LANE, WANAKA",NZ,14,MULBERRY LANE,WANAKA,,,
"50 FREYBERG AVENUE, KUROW",NZ,50,FREYBERG AVENUE,KUROW,,,
"36 HAMILTON ROAD, QUEENSTOWN",NZ,36,HAMILTON ROAD,QUEENSTOWN,,,
"166 BROWNSTON STREET, WANAKA",NZ,166,BROWNSTON STREET,WANAKA,,,
"71 SCOTLAND STREET, ROXBURGH",NZ,71,SCOTLAND STREET,ROXBURGH,,,
"39 CARLYLE ROAD, MOSGIEL",NZ,39,CARLYLE ROAD,MOSGIEL,,,
"48 ARONUI ROAD, BRIDGE HILL, ALEXANDRA",NZ,48,ARONUI ROAD,ALEXANDRA,,,
"46 FREYBERG AVENUE, KUROW",NZ,46,FREYBERG AVENUE,KUROW,,,
"2 PURAKAUNUI FALLS ROAD, OWAKA",NZ,2,PURAKAUNUI FALLS ROAD,OWAKA,,,
"2 HERRON STREET, BROCKVILLE, DUNEDIN",NZ,2,HERRON STREET,DUNEDIN,,,
"163 OHAWINI ROAD, OAKURA, HIKURANGI",NZ,163,OHAWINI ROAD,HIKURANGI,,,
"28 PARK STREET, QUEENSTOWN",NZ,28,PARK STREET,QUEENSTOWN,,,
"1 CONSTITUTION AVENUE, MILTON",NZ,1,CONSTITUTION AVENUE,MILTON,,,
"73 PARRY CRESCENT, LAKE HAWEA",NZ,73,PARRY CRESCENT,LAKE HAWEA,,,
"38 HASTINGS STREET, WAKARI, DUNEDIN",NZ,38,HASTINGS STREET,DUNEDIN,,,
"22 AJAX STREET, MILTON",NZ,22,AJAX STREET,MILTON,,,
"33 ALEXANDER ROAD, MILTON",NZ,33,ALEXANDER ROAD,MILTON,,,
"18 CARMICHAEL STREET, RANGIORA",NZ,18,CARMICHAEL STREET,RANGIORA,,,
"28 MOTURATA ROAD, TAIERI BEACH, TAIERI MOUTH",NZ,28,MOTURATA ROAD,TAIERI MOUTH,,,
"42A GORDON ROAD, MOSGIEL",NZ,42A,GORDON ROAD,MOSGIEL,,,
"153 OHAWINI ROAD, OAKURA, HIKURANGI",NZ,153,OHAWINI ROAD,HIKURANGI,,,
"49A FLAXDALE STREET, BIRKDALE, AUCKLAND",NZ,49A,FLAXDALE STREET,AUCKLAND,AUCKLAND,,
"17 AYR STREET, MOSGIEL",NZ,17,AYR STREET,MOSGIEL,,,
"80 SALCOMBE STREET, KAITANGATA",NZ,80,SALCOMBE STREET,KAITANGATA,,,
"11 WAIKANA STREET, BROAD BAY, DUNEDIN",NZ,11,WAIKANA STREET,DUNEDIN,,,
"445 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,445,PENINSULA ROAD,QUEENSTOWN,,,
