address,country_code,house_number,street,town,state,postal_code,country
"79 MARTIN ROAD, FAIRFIELD, DUNEDIN",NZ,79,MARTIN ROAD,DUNEDIN,,,
"207 GORDON ROAD, MOSGIEL",NZ,207,GORDON ROAD,MOSGIEL,,,
"45 BRINGANS STREET, ALEXANDRA",NZ,45,BRINGANS STREET,ALEXANDRA,,,
"24 CROSSLEIGH CRESCENT, BALCLUTHA",NZ,24,CROSSLEIGH CRESCENT,BALCLUTHA,,,
"117 RAETIHI OHAKUNE ROAD, RAETIHI",NZ,117,RAETIHI OHAKUNE ROAD,RAETIHI,,,
"498 LYONS ROAD, MANGATAWHIRI",NZ,498,LYONS ROAD,MANGATAWHIRI,,,
"6 RICHMOND STREET, FORBURY, DUNEDIN",NZ,6,RICHMOND STREET,DUNEDIN,,,
"101 BRAEVIEW CRESCENT, MAORI HILL, DUNEDIN",NZ,101,BRAEVIEW CRESCENT,DUNEDIN,,,
"11 PENRICH STREET, ABBOTSFORD, DUNEDIN",NZ,11,PENRICH STREET,DUNEDIN,,,
"531 HIGHGATE, MAORI HILL, DUNEDIN",NZ,531,HIGHGATE,DUNEDIN,,,
"30 MCBRIDE STREET, FRANKTON, QUEENSTOWN",NZ,30,MCBRIDE STREET,QUEENSTOWN,,,
"9 FAIRFAX STREET, MAORI HILL, DUNEDIN",NZ,9,FAIRFAX STREET,DUNEDIN,,,
"22 BLACKFORD STREET, BALACLAVA, DUNEDIN",NZ,22,BLACKFORD STREET,DUNEDIN,,,
"14 ST HELIERS COURT, CLYDE HILL, DUNEDIN",NZ,14,ST HELIERS COURT,DUNEDIN,,,
"10 ROWLING PLACE, LEAMINGTON, CAMBRIDGE",NZ,10,ROWLING PLACE,CAMBRIDGE,,,
"48 CLINTON HIGHWAY, TE HOUKA, BALCLUTHA",NZ,48,CLINTON HIGHWAY,BALCLUTHA,,,
"29 SCHOOL STREET, KAIKORAI, DUNEDIN",NZ,29,SCHOOL STREET,DUNEDIN,,,
"74 LAKEVIEW TERRACE, LAKE HAWEA",NZ,74,LAKEVIEW TERRACE,LAKE HAWEA,,,
"23 EDGEWARE AVENUE, MOSGIEL",NZ,23,EDGEWARE AVENUE,MOSGIEL,,,
"5 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,5,CORSTORPHINE ROAD,DUNEDIN,,,
"14 HAZEL AVENUE, CAVERSHAM, DUNEDIN",NZ,14,HAZEL AVENUE,DUNEDIN,,,
"733 HIGHGATE, MAORI HILL, DUNEDIN",NZ,733,HIGHGATE,DUNEDIN,,,
"9 GORDON STREET, BALCLUTHA",NZ,9,GORDON STREET,BALCLUTHA,,,
"100 MAIN ROAD, FAIRFIELD, DUNEDIN",NZ,100,MAIN ROAD,DUNEDIN,,,
"75 HALLENSTEIN STREET, QUEENSTOWN",NZ,75,HALLENSTEIN STREET,QUEENSTOWN,,,
"6 BEDFORD STREET, TAPANUI",NZ,6,BEDFORD STREET,TAPANUI,,,
"256 TAIERI ROAD, WAKARI, DUNEDIN",NZ,256,TAIERI ROAD,DUNEDIN,,,
"23 SHAW STREET, ARROWTOWN",NZ,23,SHAW STREET,ARROWTOWN,,,
"394 HIGH STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,394,HIGH STREET,DUNEDIN,,,
"35 SHOTOVER STREET, QUEENSTOWN",NZ,35,SHOTOVER STREET,QUEENSTOWN,,,
"32 ROBERTON ROAD, AVONDALE, AUCKLAND",NZ,32,ROBERTON ROAD,AUCKLAND,AUCKLAND,,
"7 CYPRESS COURT, KELVIN HEIGHTS, QUEENSTOWN",NZ,7,CYPRESS COURT,QUEENSTOWN,,,
"53 KENMURE ROAD, BELLEKNOWES, DUNEDIN",NZ,53,KENMURE ROAD,DUNEDIN,,,
"6 MOERANGI STREET, BROAD BAY, DUNEDIN",NZ,6,MOERANGI STREET,DUNEDIN,,,
"29 INNISCORT STREET, CROMWELL",NZ,29,INNISCORT STREET,CROMWELL,,,
"131 OAKWOOD AVENUE, BALACLAVA, DUNEDIN",NZ,131,OAKWOOD AVENUE,DUNEDIN,,,
"115 BAKER STREET, STIRLING",NZ,115,BAKER STREET,STIRLING,,,
"44 ROY CRESCENT, CONCORD, DUNEDIN",NZ,44,ROY CRESCENT,DUNEDIN,,,
"26 NEEDLES STREET, KAITANGATA",NZ,26,NEEDLES STREET,KAITANGATA,,,
"54 ROYAL TERRACE, ALEXANDRA",NZ,54,ROYAL TERRACE,ALEXANDRA,,,
"71 ANDERSON ROAD, WANAKA",NZ,71,ANDERSON ROAD,WANAKA,,,
"106 HEDDITCH STREET, WANAKA",NZ,106,HEDDITCH STREET,WANAKA,,,
"16 LARKINS STREET, HELENSBURGH, DUNEDIN",NZ,16,LARKINS STREET,DUNEDIN,,,
"2 BLAKE STREET, HALFWAY BUSH, DUNEDIN",NZ,2,BLAKE STREET,DUNEDIN,,,
"24 KINGSTON STREET, ALBERT TOWN, WANAKA",NZ,24,KINGSTON STREET,WANAKA,,,
"67 WALDING STREET, PALMERSTON NORTH",NZ,67,WALDING STREET,PALMERSTON NORTH,,,
"726 KAITANGATA HIGHWAY, KAITANGATA",NZ,726,KAITANGATA HIGHWAY,KAITANGATA,,,
"18 APPOLD STREET, MARYHILL, DUNEDIN",NZ,18,APPOLD STREET,DUNEDIN,,,
"27 EELY POINT ROAD, WANAKA",NZ,27,EELY POINT ROAD,WANAKA,,,
"40 SUTCLIFFE STREET, SAINT CLAIR, DUNEDIN",NZ,40,SUTCLIFFE STREET,DUNEDIN,,,
"7 ELIZABETH PLACE, KELVIN HEIGHTS, QUEENSTOWN",NZ,7,ELIZABETH PLACE,QUEENSTOWN,,,
"10 FACHE STREET, CLYDE",NZ,10,FACHE STREET,CLYDE,,,
"9 ROBERTS DRIVE, CROMWELL",NZ,9,ROBERTS DRIVE,CROMWELL,,,
"45 FALKLAND STREET, MAORI HILL, DUNEDIN",NZ,45,FALKLAND STREET,DUNEDIN,,,
"101 LAKESIDE ROAD, WANAKA",NZ,101,LAKESIDE ROAD,WANAKA,,,
"77 HILLSIDE ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,77,HILLSIDE ROAD,DUNEDIN,,,
"8 GANTRY PLACE, CROMWELL",NZ,8,GANTRY PLACE,CROMWELL,,,
"522 SOUTH ROAD, CALTON HILL, DUNEDIN",NZ,522,SOUTH ROAD,DUNEDIN,,,
"18 AJAX STREET, SAINT KILDA, DUNEDIN",NZ,18,AJAX STREET,DUNEDIN,,,
"113 HOPKINS STREET, LUGGATE, WANAKA",NZ,113,HOPKINS STREET,WANAKA,,,
"17 MAITLAND STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,17,MAITLAND STREET,DUNEDIN,,,
"3 BISHOP VERDON CLOSE, MOSGIEL",NZ,3,BISHOP VERDON CLOSE,MOSGIEL,,,
"73 GLEN ROAD, THE GLEN, DUNEDIN",NZ,73,GLEN ROAD,DUNEDIN,,,
"141 HUNTER CRESCENT, WANAKA",NZ,141,HUNTER CRESCENT,WANAKA,,,
"42 NORFOLK STREET, SAINT CLAIR, DUNEDIN",NZ,42,NORFOLK STREET,DUNEDIN,,,
"2 SEATON STREET, CLYDE",NZ,2,SEATON STREET,CLYDE,,,
"146 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,146,CORSTORPHINE ROAD,DUNEDIN,,,
"20 CHAUCER STREET, MILTON",NZ,20,CHAUCER STREET,MILTON,,,
"3 PINES ROAD, ALEXANDRA",NZ,3,PINES ROAD,ALEXANDRA,,,
"182 COWAN ROAD, PINE HILL, DUNEDIN",NZ,182,COWAN ROAD,DUNEDIN,,,
"18 SHIPKA STREET, ABBOTSFORD, DUNEDIN",NZ,18,SHIPKA STREET,DUNEDIN,,,
"9 GLENFINLASS STREET, COMPANY BAY, DUNEDIN",NZ,9,GLENFINLASS STREET,DUNEDIN,,,
"108 OAKWOOD AVENUE, BALACLAVA, DUNEDIN",NZ,108,OAKWOOD AVENUE,DUNEDIN,,,
"150 BURNT FLAT ROAD, CABERFEIDH, OWAKA",NZ,150,BURNT FLAT ROAD,OWAKA,,,
"106 NEPLUSULTRA STREET, CROMWELL",NZ,106,NEPLUSULTRA STREET,CROMWELL,,,
"315 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,315,PENINSULA ROAD,QUEENSTOWN,,,
"75 COUNTRY PALMS DRIVE, HALSWELL, CHRISTCHURCH",NZ,75,COUNTRY PALMS DRIVE,CHRISTCHURCH,,,
"10 HINAHINA ROAD, OWAKA",NZ,10,HINAHINA ROAD,OWAKA,,,
"35 STEVENSON ROAD, CONCORD, DUNEDIN",NZ,35,STEVENSON ROAD,DUNEDIN,,,
"494 TAIERI ROAD, HALFWAY BUSH, DUNEDIN",NZ,494,TAIERI ROAD,DUNEDIN,,,
"173 PENINSULA ROAD, KAWARAU FALLS, QUEENSTOWN",NZ,173,PENINSULA ROAD,QUEENSTOWN,,,
"287 LAKESIDE ROAD, WANAKA",NZ,287,LAKESIDE ROAD,WANAKA,,,
"4 TAPLEY PADDOCK, WANAKA",NZ,4,TAPLEY PADDOCK,WANAKA,,,
"44 FORTH STREET, MOSGIEL",NZ,44,FORTH STREET,MOSGIEL,,,
"2 BACK STREET, TAPANUI",NZ,2,BACK STREET,TAPANUI,,,
"30 CARLYLE ROAD, MOSGIEL",NZ,30,CARLYLE ROAD,MOSGIEL,,,
"52 BRIDGER STREET, MARYHILL, DUNEDIN",NZ,52,BRIDGER STREET,DUNEDIN,,,
"20 MAN STREET, QUEENSTOWN",NZ,20,MAN STREET,QUEENSTOWN,,,
"43 ROYAL TERRACE, DUNEDIN CENTRAL, DUNEDIN",NZ,43,ROYAL TERRACE,DUNEDIN,,,
"184 BALMACEWEN ROAD, WAKARI, DUNEDIN",NZ,184,BALMACEWEN ROAD,DUNEDIN,,,
"41 DERWENT STREET, NASEBY",NZ,41,DERWENT STREET,NASEBY,,,
"25 GLENROSS STREET, GLENROSS, DUNEDIN",NZ,25,GLENROSS STREET,DUNEDIN,,,
"46 CHRISTCHURCH STREET, KAITANGATA",NZ,46,CHRISTCHURCH STREET,KAITANGATA,,,
"17 MATAORA ROAD, KENMURE, DUNEDIN",NZ,17,MATAORA ROAD,DUNEDIN,,,
"38 SKERRIES STREET, OUTRAM",NZ,38,SKERRIES STREET,OUTRAM,,,
"32 COLUMBA AVENUE, CALTON HILL, DUNEDIN",NZ,32,COLUMBA AVENUE,DUNEDIN,,,
"20 ARNOTT STREET, ALEXANDRA",NZ,20,ARNOTT STREET,ALEXANDRA,,,
"481 BLACK ROCK ROAD, LEE FLAT, OUTRAM",NZ,481,BLACK ROCK ROAD,OUTRAM,,,
"15 MARSLIN STREET, ALEXANDRA",NZ,15,MARSLIN STREET,ALEXANDRA,,,
"118 EDDYSTONE STREET, KAITANGATA",NZ,118,EDDYSTONE STREET,KAITANGATA,,,
"46 WALTON PARK AVENUE, FAIRFIELD, DUNEDIN",NZ,46,WALTON PARK AVENUE,DUNEDIN,,,
"6 CROSBY STREET, MORNINGTON, DUNEDIN",NZ,6,CROSBY STREET,DUNEDIN,,,
"9 BURWOOD AVENUE, MAORI HILL, DUNEDIN",NZ,9,BURWOOD AVENUE,DUNEDIN,,,
"110 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,110,FORFAR STREET,DUNEDIN,,,
"9 BRACKEN STREET, ARROWTOWN",NZ,9,BRACKEN STREET,ARROWTOWN,,,
"27 MOIR STREET, BALCLUTHA",NZ,27,MOIR STREET,BALCLUTHA,,,
"4 SUMMERTIME AVENUE, CORSTORPHINE, DUNEDIN",NZ,4,SUMMERTIME AVENUE,DUNEDIN,,,
"383 OLD PORT ROAD, WAREPA, BALCLUTHA",NZ,383,OLD PORT ROAD,BALCLUTHA,,,
"47 BROOKSDALE ROAD, TAPANUI",NZ,47,BROOKSDALE ROAD,TAPANUI,,,
"18 BUSHYHILL STREET, TAPANUI",NZ,18,BUSHYHILL STREET,TAPANUI,,,
"5 MARINE TERRACE, KAKA POINT",NZ,5,MARINE TERRACE,KAKA POINT,,,
"57 NORTHUMBERLAND STREET, TAPANUI",NZ,57,NORTHUMBERLAND STREET,TAPANUI,,,
"48A CHURCH STREET, MOSGIEL",NZ,48A,CHURCH STREET,MOSGIEL,,,
"12 ESPLANADE, KAKA POINT",NZ,12,ESPLANADE,KAKA POINT,,,
"20 MAREWA STREET, KEW, DUNEDIN",NZ,20,MAREWA STREET,DUNEDIN,,,
"11 START STREET, KAITANGATA",NZ,11,START STREET,KAITANGATA,,,
"31 ORAM DRIVE, TURITEA, PALMERSTON NORTH",NZ,31,ORAM DRIVE,PALMERSTON NORTH,,,
"20 CARNARVON STREET, BELLEKNOWES, DUNEDIN",NZ,20,CARNARVON STREET,DUNEDIN,,,
"32 GREY STREET, ALLANTON, MOSGIEL",NZ,32,GREY STREET,MOSGIEL,,,
"9 BEAUMONT HIGHWAY, LAWRENCE",NZ,9,BEAUMONT HIGHWAY,LAWRENCE,,,
"23 COOPER STREET, MORNINGTON, DUNEDIN",NZ,23,COOPER STREET,DUNEDIN,,,
"445 SOUTH ROAD, CALTON HILL, DUNEDIN",NZ,445,SOUTH ROAD,DUNEDIN,,,
"330 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,330,BROCKVILLE ROAD,DUNEDIN,,,
"345 COWAN ROAD, JOHNSTON, LAWRENCE",NZ,345,COWAN ROAD,LAWRENCE,,,
"28 HART STREET, BELLEKNOWES, DUNEDIN",NZ,28,HART STREET,DUNEDIN,,,
"143 GLENPARK AVENUE, MARYHILL, DUNEDIN",NZ,143,GLENPARK AVENUE,DUNEDIN,,,
"7 NAPIER STREET, BELLEKNOWES, DUNEDIN",NZ,7,NAPIER STREET,DUNEDIN,,,
"118 SUNDERLAND STREET, CLYDE",NZ,118,SUNDERLAND STREET,CLYDE,,,
"6 DELTA STREET, BELLEKNOWES, DUNEDIN",NZ,6,DELTA STREET,DUNEDIN,,,
"13 CHERRY DRIVE, MOSGIEL",NZ,13,CHERRY DRIVE,MOSGIEL,,,
"20 GUILDFORD PLACE, MOSGIEL",NZ,20,GUILDFORD PLACE,MOSGIEL,,,
"11 VENTNOR STREET, MORNINGTON, DUNEDIN",NZ,11,VENTNOR STREET,DUNEDIN,,,
"103 NORFOLK STREET, SAINT CLAIR, DUNEDIN",NZ,103,NORFOLK STREET,DUNEDIN,,,
"56 TAY STREET, MOSGIEL",NZ,56,TAY STREET,MOSGIEL,,,
"13 CHARLTON AVENUE, MOSGIEL",NZ,13,CHARLTON AVENUE,MOSGIEL,,,
"297 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,297,MAIN SOUTH ROAD,DUNEDIN,,,
"6 LINCOLN STREET, HALFWAY BUSH, DUNEDIN",NZ,6,LINCOLN STREET,DUNEDIN,,,
"29 DELTA DRIVE, WALDRONVILLE, DUNEDIN",NZ,29,DELTA DRIVE,DUNEDIN,,,
"40 GREENACRES STREET, MACANDREW BAY, DUNEDIN",NZ,40,GREENACRES STREET,DUNEDIN,,,
"171 HILLHEAD ROAD, CORSTORPHINE, DUNEDIN",NZ,171,HILLHEAD ROAD,DUNEDIN,,,
"14 DRIVERS ROAD, MAORI HILL, DUNEDIN",NZ,14,DRIVERS ROAD,DUNEDIN,,,
"7 JELLICOE CRESCENT, KAIKORAI, DUNEDIN",NZ,7,JELLICOE CRESCENT,DUNEDIN,,,
"3 ORPINE COURT, CROMWELL",NZ,3,ORPINE COURT,CROMWELL,,,
"14 JOLLYS ROAD, CROMWELL",NZ,14,JOLLYS ROAD,CROMWELL,,,
"3 CLYDE STREET, KINMONT PARK, MOSGIEL",NZ,3,CLYDE STREET,MOSGIEL,,,
"27 HAMILTON ROAD, QUEENSTOWN",NZ,27,HAMILTON ROAD,QUEENSTOWN,,,
"23 DRIVERS ROAD, MAORI HILL, DUNEDIN",NZ,23,DRIVERS ROAD,DUNEDIN,,,
"41 GILKISON STREET, HALFWAY BUSH, DUNEDIN",NZ,41,GILKISON STREET,DUNEDIN,,,
"71 UPTON STREET, WANAKA",NZ,71,UPTON STREET,WANAKA,,,
"11 NEWARP STREET, BALCLUTHA",NZ,11,NEWARP STREET,BALCLUTHA,,,
"7A FEATON AVENUE, AWHITU",NZ,7A,FEATON AVENUE,AWHITU,,,
"49 FACHE STREET, CLYDE",NZ,49,FACHE STREET,CLYDE,,,
"2 BENMORE PLACE, OMARAMA, OMARAMA",NZ,2,BENMORE PLACE,OMARAMA,,,
"20 AVALON CRESCENT, FERNHILL, QUEENSTOWN",NZ,20,AVALON CRESCENT,QUEENSTOWN,,,
"28 GRENDON STREET, MAORI HILL, DUNEDIN",NZ,28,GRENDON STREET,DUNEDIN,,,
"9 WRATTEN ROAD, OWAKA",NZ,9,WRATTEN ROAD,OWAKA,,,
"139 HELENSBURGH ROAD, WAKARI, DUNEDIN",NZ,139,HELENSBURGH ROAD,DUNEDIN,,,
"85 NORFOLK STREET, SAINT CLAIR, DUNEDIN",NZ,85,NORFOLK STREET,DUNEDIN,,,
"54C ALBERTA ROAD, GLEN AVON, NEW PLYMOUTH",NZ,54C,ALBERTA ROAD,NEW PLYMOUTH,,,
"3 EMLEN PLACE, MOSGIEL",NZ,3,EMLEN PLACE,MOSGIEL,,,
"16 PRESTON DRIVE, ARROWTOWN",NZ,16,PRESTON DRIVE,ARROWTOWN,,,
"18 ROSS STREET, BALCLUTHA",NZ,18,ROSS STREET,BALCLUTHA,,,
"1 BLACKMORE CRESCENT, ALEXANDRA",NZ,1,BLACKMORE CRESCENT,ALEXANDRA,,,
"57 INDUSTRIAL PLACE, QUEENSTOWN",NZ,57,INDUSTRIAL PLACE,QUEENSTOWN,,,
"42 WALDRON CRESCENT, GREEN ISLAND, DUNEDIN",NZ,42,WALDRON CRESCENT,DUNEDIN,,,
"101 BAY VIEW ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,101,BAY VIEW ROAD,DUNEDIN,,,
"80 DUNCAN STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,80,DUNCAN STREET,DUNEDIN,,,
"29 SEAVIEW ROAD, BRIGHTON, DUNEDIN",NZ,29,SEAVIEW ROAD,DUNEDIN,,,
"50 BROCKVILLE ROAD, GLENROSS, DUNEDIN",NZ,50,BROCKVILLE ROAD,DUNEDIN,,,
"628 HIGHGATE, MAORI HILL, DUNEDIN",NZ,628,HIGHGATE,DUNEDIN,,,
"2 ISLE STREET, QUEENSTOWN",NZ,2,ISLE STREET,QUEENSTOWN,,,
"84 HENSMAN ROAD, QUEENSTOWN",NZ,84,HENSMAN ROAD,QUEENSTOWN,,,
"38 GLADSTONE ROAD NORTH, MOSGIEL",NZ,38,GLADSTONE ROAD NORTH,MOSGIEL,,,
"55 ARAWATA TERRACE, SUNSHINE BAY, QUEENSTOWN",NZ,55,ARAWATA TERRACE,QUEENSTOWN,,,
"1 TEVIOT STREET, ROXBURGH",NZ,1,TEVIOT STREET,ROXBURGH,,,
"1353 COAST ROAD, TOKO MOUTH, MILTON",NZ,1353,COAST ROAD,MILTON,,,
"16 BRUCE PLACE, ALEXANDRA",NZ,16,BRUCE PLACE,ALEXANDRA,,,
"47 BARBADOS WAY, ONE TREE POINT, WHANGAREI",NZ,47,BARBADOS WAY,WHANGAREI,,,
"46 HOCKEN STREET, KENMURE, DUNEDIN",NZ,46,HOCKEN STREET,DUNEDIN,,,
"3 BAXTER STREET, MAORI HILL, DUNEDIN",NZ,3,BAXTER STREET,DUNEDIN,,,
"31 SEATON ROAD, PORTOBELLO, DUNEDIN",NZ,31,SEATON ROAD,DUNEDIN,,,
"45A APIRANA AVENUE, GLEN INNES, AUCKLAND",NZ,45A,APIRANA AVENUE,AUCKLAND,AUCKLAND,,
"236 MIDDLETON ROAD, CORSTORPHINE, DUNEDIN",NZ,236,MIDDLETON ROAD,DUNEDIN,,,
"1 MARSH PLACE, CROMWELL",NZ,1,MARSH PLACE,CROMWELL,,,
"25 BANTRY STREET, ALEXANDRA",NZ,25,BANTRY STREET,ALEXANDRA,,,
"155 ALISON AVENUE, ALBERT TOWN, WANAKA",NZ,155,ALISON AVENUE,WANAKA,,,
"97 INNISCORT STREET, CROMWELL",NZ,97,INNISCORT STREET,CROMWELL,,,
"9 CORBETT STREET, GREEN ISLAND, DUNEDIN",NZ,9,CORBETT STREET,DUNEDIN,,,
"9 KAWARAU PLACE, FRANKTON, QUEENSTOWN",NZ,9,KAWARAU PLACE,QUEENSTOWN,,,
"21 BALMORAL DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,21,BALMORAL DRIVE,QUEENSTOWN,,,
"46 RUSSELL STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,46,RUSSELL STREET,DUNEDIN,,,
"21 ALBERT TOWN-LAKE HAWEA ROAD, ALBERT TOWN, WANAKA",NZ,21,ALBERT TOWN-LAKE HAWEA ROAD,WANAKA,,,
"410 HILLSIDE ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,410,HILLSIDE ROAD,DUNEDIN,,,
"22 BERWICK ROAD, WOODSIDE, OUTRAM",NZ,22,BERWICK ROAD,OUTRAM,,,
"8 CYPRESS COURT, KELVIN HEIGHTS, QUEENSTOWN",NZ,8,CYPRESS COURT,QUEENSTOWN,,,
"6 CHATHAM STREET, WAIHOLA, MILTON",NZ,6,CHATHAM STREET,MILTON,,,
"69 KOREMATA STREET, GREEN ISLAND, DUNEDIN",NZ,69,KOREMATA STREET,DUNEDIN,,,
"16 GOODALL STREET, CAVERSHAM, DUNEDIN",NZ,16,GOODALL STREET,DUNEDIN,,,
"16 MOTURATA ROAD, TAIERI BEACH, TAIERI MOUTH",NZ,16,MOTURATA ROAD,TAIERI MOUTH,,,
"85 WATKINS ROAD, HAWEA FLAT, LAKE HAWEA",NZ,85,WATKINS ROAD,LAKE HAWEA,,,
"6 FEATHERSTON STREET, MACANDREW BAY, DUNEDIN",NZ,6,FEATHERSTON STREET,DUNEDIN,,,
"1 MATAI ROAD, WANAKA",NZ,1,MATAI ROAD,WANAKA,,,
"6 EWING PLACE, ALBERT TOWN, WANAKA",NZ,6,EWING PLACE,WANAKA,,,
"121 MARTIN ROAD, FAIRFIELD, DUNEDIN",NZ,121,MARTIN ROAD,DUNEDIN,,,
"732 TAIHARURU ROAD, TAIHARURU, PARUA BAY",NZ,732,TAIHARURU ROAD,PARUA BAY,,,
"35 DRIVERS ROAD, MAORI HILL, DUNEDIN",NZ,35,DRIVERS ROAD,DUNEDIN,,,
"23 DORSET STREET, TAPANUI",NZ,23,DORSET STREET,TAPANUI,,,
"6 CHAPPLE STREET, ALEXANDRA",NZ,6,CHAPPLE STREET,ALEXANDRA,,,
"3 BOYNE PLACE, CROMWELL",NZ,3,BOYNE PLACE,CROMWELL,,,
"125 NOEMA TERRACE, LAKE HAWEA",NZ,125,NOEMA TERRACE,LAKE HAWEA,,,
"152 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,152,MAIN SOUTH ROAD,DUNEDIN,,,
"8 MURRAYFIELD STREET, SOUTH DUNEDIN, DUNEDIN",NZ,8,MURRAYFIELD STREET,DUNEDIN,,,
"1 COUNCIL STREET, NASEBY",NZ,1,COUNCIL STREET,NASEBY,,,
"13 CENTENNIAL ROAD, FAIRFIELD, DUNEDIN",NZ,13,CENTENNIAL ROAD,DUNEDIN,,,
"33 HEATHRIDGE PLACE, LINCOLN",NZ,33,HEATHRIDGE PLACE,LINCOLN,,,
"6 NAISH STREET, BALCLUTHA",NZ,6,NAISH STREET,BALCLUTHA,,,
"22B TYNDALL STREET, PAHIATUA",NZ,22B,TYNDALL STREET,PAHIATUA,,,
"151 WEBB ROAD, WAIPAHI, GORE",NZ,151,WEBB ROAD,GORE,,,
"24A GREYFRIARS CRESCENT, TAWA, WELLINGTON",NZ,24A,GREYFRIARS CRESCENT,WELLINGTON,,,
"120 CHAPMAN STREET, WAKARI, DUNEDIN",NZ,120,CHAPMAN STREET,DUNEDIN,,,
"53 TOTARA TERRACE, WANAKA",NZ,53,TOTARA TERRACE,WANAKA,,,
"46 ANDERSON ROAD, WANAKA",NZ,46,ANDERSON ROAD,WANAKA,,,
"26 BETA STREET, BELLEKNOWES, DUNEDIN",NZ,26,BETA STREET,DUNEDIN,,,
"10 SUTCLIFFE STREET, SAINT CLAIR, DUNEDIN",NZ,10,SUTCLIFFE STREET,DUNEDIN,,,
"37 ROSS PLACE, LAWRENCE",NZ,37,ROSS PLACE,LAWRENCE,,,
"48 BEACH STREET, QUEENSTOWN",NZ,48,BEACH STREET,QUEENSTOWN,,,
"181A CLYDE STREET, BALCLUTHA",NZ,181A,CLYDE STREET,BALCLUTHA,,,
"7 ROYAL TERRACE, ALEXANDRA",NZ,7,ROYAL TERRACE,ALEXANDRA,,,
"111 BOUNDARY STREET, TAPANUI",NZ,111,BOUNDARY STREET,TAPANUI,,,
"8 JASON STREET, HELENSBURGH, DUNEDIN",NZ,8,JASON STREET,DUNEDIN,,,
"114 PEGASUS BOULEVARD, PEGASUS",NZ,114,PEGASUS BOULEVARD,PEGASUS,,,
"16A JOHNSTON STREET, FOXTON",NZ,16A,JOHNSTON STREET,FOXTON,,,
"36 STATION STREET, ALEXANDRA",NZ,36,STATION STREET,ALEXANDRA,,,
"46 CARGILL STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,46,CARGILL STREET,DUNEDIN,,,
"11 SPIERS ROAD, HALFWAY BUSH, DUNEDIN",NZ,11,SPIERS ROAD,DUNEDIN,,,
"25 CENTENNIAL ROAD, FAIRFIELD, DUNEDIN",NZ,25,CENTENNIAL ROAD,DUNEDIN,,,
"103 AUBREY ROAD, WANAKA",NZ,103,AUBREY ROAD,WANAKA,,,
"9 MORTON STREET, CONCORD, DUNEDIN",NZ,9,MORTON STREET,DUNEDIN,,,
"14 BUSKIN ROAD, HIGHCLIFF, DUNEDIN",NZ,14,BUSKIN ROAD,DUNEDIN,,,
"1035 WAITAHUNA WEST ROAD, WAITAHUNA WEST, LAWRENCE",NZ,1035,WAITAHUNA WEST ROAD,LAWRENCE,,,
"99 SURREY STREET, FORBURY, DUNEDIN",NZ,99,SURREY STREET,DUNEDIN,,,
"7 AEOLUS PLACE, WANAKA",NZ,7,AEOLUS PLACE,WANAKA,,,
"57 GUNN ROAD, ALBERT TOWN, WANAKA",NZ,57,GUNN ROAD,WANAKA,,,
"6 BELGRAVE CRESCENT, KAIKORAI, DUNEDIN",NZ,6,BELGRAVE CRESCENT,DUNEDIN,,,
"24 SCOTLAND STREET, ROXBURGH",NZ,24,SCOTLAND STREET,ROXBURGH,,,
"12 STRATHEARN AVENUE, WAKARI, DUNEDIN",NZ,12,STRATHEARN AVENUE,DUNEDIN,,,
"623 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,623,PENINSULA ROAD,QUEENSTOWN,,,
"33 LANARK STREET, MOSGIEL",NZ,33,LANARK STREET,MOSGIEL,,,
"64 POULTERS ROAD, LEITH VALLEY, DUNEDIN",NZ,64,POULTERS ROAD,DUNEDIN,,,
"10 BRETTS ROAD, WEYMOUTH, AUCKLAND",NZ,10,BRETTS ROAD,AUCKLAND,AUCKLAND,,
"27 ABBOTSFORD ROAD, GREEN ISLAND, DUNEDIN",NZ,27,ABBOTSFORD ROAD,DUNEDIN,,,
"18 ORCHARD STREET, CLYDE",NZ,18,ORCHARD STREET,CLYDE,,,
"3 NORRIE WAY, KAIAPOI",NZ,3,NORRIE WAY,KAIAPOI,,,
"1 REMARKABLES CRESCENT, FRANKTON, QUEENSTOWN",NZ,1,REMARKABLES CRESCENT,QUEENSTOWN,,,
"6 GARLAND TERRACE, KELVIN HEIGHTS, QUEENSTOWN",NZ,6,GARLAND TERRACE,QUEENSTOWN,,,
